indi,news,titular
2534,"a la expectativa, resolviendo a toda prisa y sobre la marcha. así se encuentran la gran parte de las comunidades autónomas ante el fin de las restricciones dispuestas por el gobierno para controlar la transmisión del coronavirus en españa. la mayoría han avanzado que no continuarán con el cierre perimetral de su territorio (excepto baleares, que pide justificar el desplazamiento) ni con el toque de queda. pero hay excepciones.españa.llegamos al 9-m desgobernadosbaleares, la comunidad valenciana –curiosamente las dos comunidades que tienen actualmente la incidencia acumulada (ia) a 14 días más baja de toda españa–, canarias y navarra han declarado su intención de continuar con la restricción de la movilidad nocturna, aunque solo baleares y la comunidad valenciana tienen hasta el momento la autorización judicial para hacerlo. en total, más de 9 millones de españoles (un 19% de la población española) podrían continuar soportando el toque de queda.con una incidencia acumulada en españa a 14 días en 198 casos por 100.000 habitantes, todavía hay cinco comunidades que se encuentran en riesgo extremo (país vasco, comunidad de madrid, navarra, aragón y cataluña) y se prevé una desescalada caótica por las diferentes decisiones que han adoptado las regiones (o que están tomando aún) para afrontar el nuevo escenario que se abre. sin cierre perimetral ni toque de queda, la junta pondrá en marcha una desescalada en tres fases, vinculadas al nivel de vacunación, en la restricciones de horarios y aforos. en la primera de ellas, que entrará mañana en vigor, la hostelería abrirá hasta las 00 00 horas, y se permitirán reuniones de hasta 10 personas en el exterior y 8 en el interior, así como la apertura de las discotecas hasta las 02 00 horas. playas y piscinas no tendrán limitación de horarios. en caso de que la incidencia superase en algún municipio los 1.000 casos por cada 100.000 habitantes pedirá autorización judicial para cerrarlos y se prohibirá en ellos toda actividad comercial que no sea esencial. la comunidad mantendrá cerradas por alta incidencia zonas que ya lo estaban en este momento (jaca, tarazona, calatayud y las comarcas de cinco villas, campo de cariñena, ribera alta del ebro y valdejalón). levanta el cierre perimetral y el toque de queda. la hostelería podrá abrir hasta las 22 00 (20 00 horas en aquellas zonas que estén en alerta 3 agravada). permitirá un aforo en bares y restaurantes de un máximo de 30 personas en interior (en mesas de 4) y de 50 en el exterior del local (en mesas de 6). el principado ha flexibilizado las restricciones para hacer frente a la nueva situación, con el cierre de la hostelería hasta 01 00 (con grupos de hasta seis personas) y la posibilidad de efectuar cierres por localidades o incluso barrios. no habrá limitación de personas en las reuniones, aunque en situaciones epidemiológicas especialmente graves» se podrán adoptar medidas que restrinjan este derecho fundamental. el tribunal superior de justicia de baleares aprobó el jueves mantener la limitación nocturna entre las 23 00 y las 6 00 horas y los controles para la entrada a la comunidad, siendo necesario en su caso un control sanitario (pcr o una prueba de antígenos). las reuniones y encuentros familiares y sociales se fijan en un máximo de seis personas. la hostelería cerrará a las 22 30 horas, y se permitirá la apertura del interior de los locales a partir del próximo 23 de mayo. el archipiélago ha manifestado su intención de mantener el toque de queda, así como los controles obligatorios en puertos y aeropuertos. no tiene, sin embargo, limitación de movilidad a otras comunidades autónomas peninsulares. las islas de tenerife, gran canaria, lanzarote, la graciosa y el hierro tienen limitación de la movilidad nocturna entre las 23 00 y las 6 00 horas (con cierre de hostelería a las 23 00), y las de la palma, la gomera y fuerteventura de 00 00 a 06 00 horas. abierta al resto de autonomías y sin toque de queda, la comunidad mantendrá cerrado el interior de los establecimientos de hostelería, que podrán abrir hasta las 22 30 horas. la ocupación en terrazas será del 75% y de seis personas por mesa. además, baraja la posibilidad de efectuar cierres perimetrales puntuales valorando la situación de la pandemia municipio a municipio. el vicepresidente autonómico, francisco igea, anunció esta semana que cerrará los locales de hostelería a las 00 00 horas, y que clausurará el interior de los bares en localidades que tengan una incidencia superior a los 150 casos por 100.000 habitantes. la región aplicará los criterios del semáforo» epidemiológico con cuatro niveles de alerta fijado por el ministerio de sanidad tras la eliminación del toque de queda y el confinamiento perimetral. el aforo máximo será del 75% en bodas, bautizos, comuniones y funerales, salvo si celebran en iglesias, en cuyo caso será del 100%. el gobierno regional decidirá un paquete de medidas a adoptar tras el fin de la limitación de la movilidad autonómica y del toque de queda (instrumento que era partidario de mantener, aunque se enfrenta al escollo jurídico). sin embargo, ha trascendido que podría aumentar de 6 a 10 el número de personas en los locales de hostelería. durante 15 días seguirán en vigor las restricciones como la limitación de los aforos y de los encuentros sociales a un máximo de seis personas, tanto en interiores como en el exterior. asimismo, mantiene el aforo máximo del 50% en actos religiosos y ceremonias civiles. la comunidad termina con la limitación de la movilidad a otras autonomías y con el toque de queda. los restaurantes podrán servir hasta las 23 00 horas, los comercios abrir hasta las 22 00, y las actividades culturales y deportivas hasta las 23 00 horas con limitación de aforo el tribunal superior de justicia de la comunidad valenciana ha autorizado las limitaciones a la movilidad nocturna (de 00 00 a 06 00 horas), a las reuniones sociales y familiares (fijadas en un máximo de diez personas) y restringir al 75% el aforo en los lugares de culto, pero establece de momento su duración hasta el 24 de mayo. podrán prorrogarse o no dependiendo de la evolución de la epidemia. la generalitat tiene previsto revisar los horarios y los aforos de los establecimientos e hostelería, con la idea de ampliar el horario de cierre hasta las once de la noche. la región no impondrá toque de queda y ampliará el horario de la hostelería hasta las 00 00 horas, mientras que recomendará que las reuniones en domicilios se limiten solo a grupos de convivientes. en hostelería, el horario permitido será de 6 00 horas a 00 00 horas, no pudiendo admitir nuevos clientes desde las 23 00 horas, y se mantendrá la prohibición de consumo en barra y la limitación de cuatro comensales en el interior y seis en las terrazas. el consejero de sanidad en funciones de la comunidad de madrid, enrique ruiz escudero, informó ayer además de que la obligatoriedad del uso de mascarillas se mantiene en las mismas condiciones y con las mismas excepciones» que las que existen actualmente. la región suprime el toque de queda y el cierre perimetral, y los bares y restaurantes podrán abrir hasta la medianoche. el ejecutivo de la comunidad se plantea decretar cierres de municipios si la situación de la pandemia lo requiere. en este sentido, la consejería de sanidad y servicios sociales ha publicado una resolución con los distintos niveles de alerta sanitaria y las medidas generales de prevención e intervención administrativas en materia de salud pública ante la crisis de la covid-19. en concreto, esta resolución establece cinco niveles, como son el de nueva normalidad, y de alerta del 1 al 4, a partir de los cuales señala los límite de aforo en las diversas actividades a desarrollar. alberto núñez feijóo, presidente de la xunta, informó de la ampliación de los horarios de los bares hasta las 23 00 horas y de los restaurantes hasta la 01 00. además, el ejecutivo ha propuesto limitar las reuniones de no convivientes entre la 01 00 y las 06 00 (para lo que necesita respaldo judicial). tanto el toque de queda como el cierre perimetral decaen mañana, aunque seguirán clausurados los cinco municipios de la comunidad que continúan en riesgo extremo (cambados, cualedro, laza, padrón, vilanova de arousa), cuya movilidad nocturna está también limitada de 23 00 a 06 00 horas. la intención del gobierno cántabro pasa por implantar una herramienta, la del semáforo, para establecer en qué localidades se toman una serie de medidas más restrictivas. mientras tanto, el consejo de gobierno aprobó ayer que la comunidad se sitúe a partir de mañana en el nivel 3 (alto). así, recomienda un máximo de seis personas en todas las reuniones. el aforo máximo permitido en la hostelería (abierta hasta las 00 00 horas) será de un 50% en el interior y no habrá límites de aforo de ningún tipo en el exterior. levanta también el toque de queda y la movilidad con otras autonomías. la región levanta el confinamiento perimetral y elimina el toque de queda, aunque la actividad no esencial (hostelería, entre ella) queda cerrada desde las 00 00 hasta las 06 00 horas. las reuniones sociales se amplían a seis personas en público y en privado. la comunidad foral abrirá sus fronteras desde mañana, aunque planea mantener el toque de queda desde las 23 00 a las 6 00 oras. recomendará limitar las reuniones en los domicilios a un máximo de seis personas de dos grupos de convivencia y la ampliación del horario de las terrazas a las 22 00 horas en la hostelería. aunque la intención del ejecutivo regional era mantenerlo, el tribunal superior de justicia del país vasco no ha permitido seguir con el toque de queda, ni limitar las reuniones a cuatro personas. tampoco ha apoyado el confinamiento autonómico ni los municipales. el presidente vasco, iñigo urkullu, pidió ayer a la ciudadanía que mantenga voluntaria y conscientemente» una limitación de la movilidad nocturna entre las once de la noche y las seis de la mañana, así como que no se reúna en grupos formados por más de cuatro personas.",nueve millones de españoles podrían seguir bajo el toque de queda
2535,"las dudas y recelos que suscita el preparado que astrazeneca desarrolló junto a la universidad de oxford ha obligado al ministerio de sanidad ha rediseñar su estrategia de vacunación. como no hay suficientes evidencias científicas sobre su efectividad en mayores, sanidad limitó su uso en personas de entre 18 y 55 años. ante la falta de concreción de los grupos a los que se reservaría astrazeneca, algunas comunidades como cataluña se vieron obligadas a decidir por su cuenta. y, ayer, finalmente, con el objetivo de tener una plan unitario, la comisión de salud pública dio a conocer los destinatarios personal sociosanitario como fisioterapeutas y terapeutas ocupacionales, por un lado. y, por otro, las fuerzas y cuerpos de seguridad del estado y docentes. hasta ahora solo se habían especificado cinco grupos prioritarios en la primera fase. estos son 1. residentes y personal sanitario y sociosanitario que trabaja en residencias de mayores 2. sanitarios de primera línea 3. otro personal sanitario y sociosanitario 4. personas consideradas como grandes dependientes que no estén institucionalizadas 5. personas mayores de 80 años.como la inmunización de los grupos 1 y 2 se está completando o ha finalizado en la mayoría de las comunidades y teniendo en cuenta que el siguiente grupo de vacunación eran los mayores de 80 años, la comisión ha creado otro subgrupo dentro del tercero, llamado otro personal sanitario y sociosanitario». si el 3a, dado a conocer el 22 de enero, incluyó a los dentistas, sanidad ha añadido ahora el 3b para emplear los sueros de astrazeneca. en este subgrupo están contemplados los siguientes colectivos fisioterapeutas, terapeutas ocupacionales, personal de oficina de farmacias, medicina legal, servicios de ayuda a domicilio, centros de menores y de centros de día. tambien a los trabajadores de instituciones penitenciarias.además, se ha sumado un sexto grupo para poder emplear los 1,8 millones de sueros de astrazeneca que llegarán durante este mes de febrero. el grupo 6 incluye a las fuerzas y cuerpos de seguridad del estado (policía nacional, guardia civil, policía autonónomica y locales) y también a las fuerzas armadas, por un lado. y, por otro, a docentes y personal de educación infantil y necesidades educativas especiales, así como profesores de primaria y secundaria. las comunidades recibieron ayer la primera remesa de 193.800 sueros de astrazeneca. hasta marzo, españa recibirá 1,8 millones de esta vacuna que suscita muchas reticencias. no hay certezas sobre si funciona en la población mayor. además, se ha comprobado que no es efectiva en los casos graves de la cepa sudafricana, por lo que el laboratorio se ha comprometido a reformularla. pese a ello, los profesionales sanitarios apuestan por seguir empleándola. ricardo gómez huelgas, de la sociedad española de medicina interna, apunta a que lo importante es que se alcance un ritmo de vacunación alto y sostenido y que la tasa de inmunización sea la más grande posible». en ese sentido, aclara que es frecuente que se autoricen productos sanitarios sin haber incluido a todos los colectivos en los ensayos clínicos. es un clásico la infrarrepresentación de mujeres y mayores en los estudios y esto no es un óbice para que se usen los fármacos en la población general». por su parte, el consejo general de enfermería sostiene que la de astrazeneca es una vacuna segura tanto como las de pfizer y moderna, e instan a la población a que no haga caso de bulos infundados.","sanidad vacunará con astrazeneca a policías, militares y docentes"
2536,"cuando está en plena tramitación en la ue la transformación del preacuerdo de nochevieja entre españa y reino unido sobre gibraltar, dos puestos claves en aparato diplomático español siguen vacantes la embajada de londres y el responsable de la oficina de gibraltar del ministerio en madrid.según adelantó voz pópuli, el anterior jefe de la oficina de gibraltar, pablo ruiz-jarabo, ha abandonado dicho puesto para pasar a ser subdirector general para naciones unidas ya que dicha plaza se había quedado recientemente vacante. a ruiz-jarabo, que llegó al cargo tras la muerte repentina del jefe de la oficina para gibraltar, antonio garcía ferrer, el pasado septiembre, le sucederá su hasta ahora ‘número dos’, mario luis gonzález pliego, quien ha participado en las recientes negociaciones y garantiza la continuidad, , informa ep. a esta baja hay que añadir la del embajador en londres, carlos bastarreche, al que le llegó la fecha de la jubilación en noviembre y cuya vacante se cubrirá, aseguró exteriores, ""muy pronto"".mientras tanto, la gira de la ministra gonzález laya por el golfo persico continúa, hoy le ha tocado el turno a arabia saudí, donde mantuvo reuniones marcadamente económicas para explorar posibles inversiones saudíes en españa y otro ámbitos de cooperación. este martes en la capital saudí, donde aterrizó ayer por la tarde, se reunió con su homólogo, el príncipe faisal bin farhan, a quien felicitó por la reconciliación entre arabia saudí, emiratos árabes unidos, baréin y catar, países del golfo pérsico que llevaban enemistados desde junio de 2017 y que alcanzaron un acuerdo el pasado enero. durante el encuentro, abordaron también las relaciones bilaterales, las relaciones con irán, las perspectivas del proceso de paz entre árabes e israelíes, la situación en el sahel y los conflictos del yemen y libia, según un comunicado del ministerio español de exteriores. gonzález laya se entrevistó asimismo con el ministro de inversiones saudí, jaled al faleh, y con el gobernador del fondo soberano saudí, public investment fund (pif), yasir al rumayan, con quienes trató ""las posibilidades de aumentar la inversión saudí en españa en el marco del plan de recuperación y utilizando estrategias de co-inversión"", agregó la nota. en el marco de estos encuentros de carácter económico, se reunió con el ministro de comercio saudí, mayid al qasabi, siendo arabia saudí el primer socio comercial de españa en oriente próximo, con un volumen total de intercambios que superó los 6.000 millones de euros en 2019. la ministra habló además con el titular de la cartera de turismo, ahmed al jatib, y visitó el sitio arqueológico de al turaif, al noroeste de riad.",laya mantiene vacantes la embajada de londres y la oficina de gibraltar
2537,"guerra sucia por el relato en el gobierno de coalición. las zancadillas entre los socios se están sucediendo con una asiduidad mayor de lo habitual ante la inminencia del 14 de febrero. aunque desde ambas partes se reconoce cierta gesticulación en clave electoral, la situación se está recrudeciendo en las últimas horas. a las declaraciones del vicepresidente pablo iglesias poniendo en cuestión la ""normalidad democrática"" en españa se suma la carrera por apuntarse el tanto de promover la despenalización de las conductas asociadas a la libertad de expresión cuando se dan en el contexto artístico o cultural.en unidas podemos hay malestar porque reconocen que anunciaron en privado al psoe que hoy presentarían una proposición de ley para eliminar las injurias a la corona. esto se comunicó solo horas antes de que desde moncloa se lanzara el anuncio de que justicia trabajaba en una reforma del código penal en la misma línea. una anuncio vago y de cuya iniciativa se desligó el ministerio de juan carlos campo, apuntando a una decisión en clave gubernamental. de este modo, desde el ejecutivo se anticipaban a sus socios en el congreso para que la medalla se la cuelgue todo el gobierno y no solo uno de los partidos que lo componen.hoy en rueda de prensa, la portavoz maría jesús montero ha querido restar importancia a esta circunstancia, de define como ""algo menor"" y ha deslizado que tanto las declaraciones de iglesias como estos repentinos movimientos de los partidos obedecen al ""contexto de campaña"", porque, fuera de este, ""no se comprenderían"". ""somos un gobierno único y lo importante es la capacidad de acierto y no de quién parta la iniciativa"", ha justificado, para apuntar inmediatamente que ""estamos en campaña electoral y algunas formaciones quieren apadrinar determinadas medidas y colocarse en situación de ventaja para el próximo domingo"".sin embargo, en este caso, como en otros como el de la ""ley zerolo"" de igualdad de trato, los socialistas han actuado de forma autónoma sin contar con su socio de coalición, a pesar de que se estaba trabajando internamente en una iniciativa conjunta. en el caso de la reforma de la libertad de expresión se produce, además, en un contexto de presión interna por el encarcelamiento del rapero pablo hasel, después de que 200 creadores y actores entre los que estaban pedro almodóvar, bardem o serrat pidieran en un manifiesto su liberación. desde moncloa no ocultan que este hecho haya tenido su efecto y lo justifican en la ""vocación de escucha"" del gobierno para ""ser capaces de tener cintura política"" y ser ""sensibles"" a las demandas ciudadanas.desde la mesa del consejo de ministros, montero ha asegurado que es ""preferible"" que esta reforma se incardine a través de la reforma del código penal que tiene previsto llevar a cabo justicia, en la que también se avanzará en el consentimiento en los delitos sexuales o en la rebaja de las penas por sedición, por tratarse de un proceso ""más garantista"" que si se promueve a través de los partidos en el congreso, como pedía unidas podemos. en este punto también hay discusión, pues si bien el psoe quiere que se haga dentro de los plazos de la reforma del código penal (cp), pilotada por los ministerios de justicia e interior los morados quieren que se tramite por la vía de urgencia en la cámara, de forma autónoma a la reforma del cp.","moncloa justifica las zancadillas entre psoe y podemos por el ""contexto electoral"""
2538,"el rey ha afirmado este martes que ""sin libertad de expresión y de información no hay democracia"" y que la labor del periodismo contribuye a que haya ""una sociedad más abierta, democrática, plural y madura"". felipe vi, junto a la reina letizia, ha presidido la entrega de los premios 2019 y 2020 de la asociación de la prensa de madrid (apm), que no pudieron celebrarse el pasado año por la pandemia. entre los distinguidos, están el presentador del telediario 2 de tve, carlos franganillo, y el director del programa ""más de uno"" de onda cero, carlos alsina, quienes han recibido el premio al mejor periodista del año 2019 y 2020, respectivamente.""el ejercicio de un periodismo en libertad es consustancial a la democracia. y, en españa, que es buen exponente de ello, hemos contado, y contamos, con excelentes profesionales que con su trabajo contribuyen a fortalecer las instituciones destinadas al servicio de todos los españoles"", ha elogiado el rey en su discurso en el palacio de cibeles de madrid. para el jefe del estado, ""no cabe duda de que sin libertad de expresión y de información no hay democracia"" y los éxitos del ejercicio del periodismo redundarán en beneficio de la sociedad y de los valores de la constitución.coincidiendo con el 125 aniversario de la apm, felipe vi ha mostrado su respeto ""grande"" por la labor del periodista por contribuir a ""una sociedad más abierta, democrática, plural y madura"". ""por eso, estamos aquí con vosotros la reina y yo, que en el periodismo, me lleva, obviamente, muchísima ventaja y oficio"", ha apostillado el monarca antes de recordar que doña letizia recibió el premio al periodista joven de la apm en 2001 cuando estaba en tve. felipe vi se ha referido a la difícil situación económica que atraviesa el periodismo y a la evolución tecnológica que condiciona el modelo de negocio. ambos factores dibujan, según el rey, ""un escenario complejo para los medios de comunicación actualmente y para el futuro"". no obstante, ha hecho hincapié en que el periodismo es ""hoy y siempre necesario"" en su ""gran responsabilidad"" de ""servir a la verdad"" y combatir la desinformación, las noticias falsas o la propaganda, que ""pugnan por influir cada vez más en la realidad"" en un entorno cada vez más condicionado por las redes sociales. por ello, don felipe ha pedido a los periodistas ""actuar con rigor, evitar la precipitación en la difusión de la información y contrastarla antes de difundirla"". además de a franganillo y alsina, la apm ha reconocido al exdirector de abc francisco giménez alemán, con el premio de honor, clara jiménez cruz, jaime santirso, constantino mediavilla, fernando peinado, elena jiménez, laura galaup y manuel rico.en nombre de todos ha intervenido alsina, quien ha advertido que ""el silencio de la prensa libre es la muerte de la democracia"". ""y es verdad que hay una legión de enemigos de la prensa y de la democracia que están deseando acabar con las dos a la vez"", ha proseguido el locutor, quien ha dicho compartir con los otros galardonados que les ""interesa la verdad y les irrita la mentira"". ante los cambios que ha provocado la pandemia en los métodos de trabajo, ha reivindicado el trabajo sobre el terreno de los periodistas. ""nos gusta trabajar, pero no nos gusta tanto teletrabajar. no todos los acontecimientos se pueden cubrir desde el salón de la casa con fibra"", ha señalado alsina en un acto al que no se ha permitido el acceso a la prensa, salvo a los galardonados.los reyes han estado acompañados por el titular de política territorial y función pública, miquel iceta, en su estreno como ministro de jornada desde que asumió el cargo hace dos semanas. también han asistido la presidenta de la comunidad de madrid, isabel díaz ayuso, y el alcalde de la capital, josé luis martínez-almeida, así como el presidente de la apm, juan caño.","el rey llama a los periodistas a ""servir a la verdad"""
2539,"el colectivo de víctimas del terrorismo (covite) ha criticado con dureza la proposición de ley orgánica de reforma de la ley orgánica 10 1995, de 23 de noviembre, del código penal para la protección de la libertad de expresión, presentada hoy por el grupo parlamentario de podemos en el congreso y acusa a la formación morada de ""ignorar deliberadamente el culto a eta y a sus terroristas en euskadi y navarra"". además, denuncia que, la eliminación del artículo 578 del código penal, tal y como ha propuesto podemos, ""dejaría aún más desprotegidas a las víctimas del terrorismo ante la humillación que sufren al ver cómo se homenajea públicamente a los asesinos de sus familiares"".el colectivo de víctimas destaca que esta propuesta refleja que podemos obvia deliberadamente que se está homenajeando a los etarras cuando salen de prisión o cuando son los aniversarios de su muerte, al centrarse exclusivamente en criticar las condenas que se han producido a raíz de expresiones de apoyo al terrorismo en redes sociales o manifestadas por cantantes u otros artistas. ""por ello, covite garantiza que ""va a continuar reclamando la aplicación del artículo 578 mientras se sigan produciendo homenajes públicos a terroristas de eta en las mismas calles en las que eta asesinó a nuestros familiares"".la presidenta del colectivo, consuelo ordóñez destaca que desde que a finales del año 2016 el colectivo puso en marcha su observatorio de radicalización -un espacio en la web del colectivo en el que se registran todos los actos relacionados con la radicalización violenta en el ámbito del terrorismo de eta- , covite ha documentado un total de 151 homenajes a miembros de eta 2 en 2016, 48 en 2017, 63 en 2018, 20 en 2019 y 18 en 2020. asimismo, ha reprobado que podemos utilice el argumento de que ""ni eta, ni grapo ni su entorno están ya activos"" para reclamar la eliminación del artículo 578 del código penal. ""es falso este argumento puesto que quedan decenas de terroristas por detener, no se ha llevado a cabo la operación policial de disolución de eta, y su entorno social y político siguen hoy igual de activos en la legitimación del terrorismo etarra que cuando eta mataba"". además, ordóñez recuerda que este ""es el mismo argumento que utiliza la audiencia nacional para no aplicar el artículo 578 del código penal, un artículo que, hasta hace muy poco, ha servido para condenar a dirigentes de la izquierda abertzale como otegi o tasio erkizia por los mismos argumentos que covite lleva denunciando desde 2016"".","covite acusa a podemos de ""ignorar deliberadamente"" el culto que se hace a eta"
2540,"la portavoz del grupo popular en el congreso, cuca gamarra, ha acusado al vicepresidente segundo del gobierno, pablo iglesias, de ""debilitar"" a españa al negar que haya ""plena normalidad democrática"" y ha exigido su comparecencia en el congreso para ofrecer explicaciones por sus ""graves"" afirmaciones. también han solicitado que comparezcan en sede parlamentaria la vicepresidenta carmen calvo y la ministra de asuntos exteriores, arancha gonzález laya.iglesias contradijo a laya y afirmó ayer que ""no hay una situación de plena normalidad política y democrática en españa"" porque los líderes de los dos partidos que gobiernan cataluña están o en la cárcel -en el caso de oriol junqueras-, o en bruselas, en el caso de carles puigdemont.por ello, gamarra aseguró que ""el único peligro que tiene esta democracia es pablo iglesias"" y por ende ""el responsable es pedro sánchez, quien lo nombró vicepresidente del gobierno"". el presidente del pp, pablo casado ha pedido también el cese del vicepresidente porque ""si no, será cómplice y responsable de lo que dice en contra de españa"". la portavoz del pp en el congreso indicó que las palabras de iglesias son de una ""absoluta gravedad"" porque ""afectan a la democracia española"" y a la imagen que tienen de españa en el exterior ""al poner en duda la calidad democrática"" del país ""el propio vicepresidente segundo del gobierno"". por otro lado, el partido popular anunció que presentará un recurso de amparo ante el tribunal constitucional después de que la mesa del congreso rechazara sus solicitudes para que no se haga por la vía de urgencia y sin escuchar a los agentes implicados la reforma de la ley orgánica del poder judicial para limitar las funciones del consejo general del poder judicial (cgpj) en funciones.","el pp asegura que ""el único peligro que tiene esta democracia es pablo iglesias"" y exige su cese"
2541,"el juez de madrid que investiga la presunta financiación irregular de podemos, juan josé escalonilla, ha acordado levantar el secreto de sumario sobre unas investigaciones que encargó el pasado 21 de septiembre, según consta en un auto de 5 de febrero, al que ha tenido acceso la razón.españa.la fiscalía advierte a podemos ""no ha aportado aún los documentos sobre neurona"" españa.el juez busca el nexo de monedero y neuronaen la resolución consta que el instructor tomó la decisión de mantener en secreto dichas pesquisas ya que ""su resultado podría verse comprometido en el supuesto de que tuvieran conocimiento de su realización las partes personadas"", en referencia a los investigados. en la causa están imputados dirigentes de podemos como el secretario de comunicación, juan manuel del olmo el tesorero, daniel de frutos y la gerente, rocío val. otros implicados son el ex administrador de neurona elías castejón, pero también el propio partido podemos como persona jurídica.precisamente, el pasado 20 de enero la ex responsable de cumplimiento normativo de podemos mónica carmona informó al juez juan josé escalonilla, que tras su cese y el despido del ex coordinador jurídico del partido josé manuel calvente ""algunos miembros de podemos han borrado mensajes de telegram que podrían comprometerles, lo que constituye desde mi punto de vista un acto de destrucción de pruebas para ocultar los hechos presuntamente fraudulentos cometidos"".la decisión del juez de levantar el secreto de su investigación se conoce después de la que la fiscalía de madrid haya advertido a podemos que no ha disipado las dudas sobre las irregularidades en la contratación de neurona ""y todo ello, casi siete meses después de iniciar las investigaciones sin que haya sido posible determinar qué trabajadores tuvo neurona, cuánto tiempo trabajaron en españa, si se desplazaron desde méxico y cuándo así como dónde se hospedaron, información de fácil acceso al ahora apelante que no ha sido facilitada"", concluye la fiscalía en un escrito contra un recurso de podemos.","el juez del ""caso neurona"" ordenó una investigación en secreto para impedir que se alteraran pruebas"
2542,"el portavoz de erc, gabriel rufián, no ha condenado directamente las agresiones que está sufriendo vox en su campaña en las elecciones catalanas y se limitó a señalar que al fascismo se le vence en las urnas».españa.olona acusa al ""indigno marlaska"" de ""cómplice"" de las agresiones a vox y carga contra rufián de esta manera evitaba posicionarse sobre su rechazo al acoso y ataques que está sufriendo la formación que lidera santiago abascal.vox ha denunciado al vicepresidente catalán y candidato de erc a las elecciones, pere aragonès, ante la junta electoral provincial de barcelona por ""alentar a la violencia"" contra su partido tras el mitin del sábado en barcelona donde el sucesor de junqueras hizo un llamamiento a ""plantar cara al fascismo"".por su parte, la diputada de vox en el congreso, macarena olona respondió a la afirmación de rufián asegurando que coincidía con esa afirmación, porque ""todas las ideas se combaten en las urnas"". sin embargo, discrepa en que españa haya partidos fascistas al tiempo que rechazaba su ""equidistancia frente a las agresiones"" de sus candidatos y simpatizantes en las elecciones de cataluña. ""en realidad -dijo- es que es un representante de un partido que delinque, totalitario y que alienta a sus cachorros a cometer agresiones"", igual que en la campaña vasca lo hizo bildu.por otro lado, el portavoz de erc se mostró convencido de que el candidato socialista, salvador illa, si puede, será presidente de cataluña con los votos de vox ""y todo el mundo se puede imaginar el coste que tendrá llegar a la generalitat con los votos de la ultraderecha"". ""ahora illa es el nuevo líder del 155 y van a aceptar lo que sea para llegar a la generalitat, incluso los votos de la ultraderecha"", ha insistido rufián en una rueda de prensa posterior a la junta de portavoces. de igual modo y a seis días de las elecciones catalanas, rufián ha avisado también de que jxcat puede entregar la presidencia catalana al psc como hizo con la diputación de barcelona. rufián ha cargado sobre todo contra illa y otros dirigentes socialistas, como josep borrell y miquel iceta, al recordar que participaron después del 1-o ""en la manifestación de la plataforma de ultraderecha sociedad civil catalana, traicionando las siglas y la historia del psoe"". una convocatoria a la que dijo, acudieron entre otros, el diputado de vox javier ortega smith.","rufián evita condenar las agresiones contra vox y les llama ""fascistas"""
2543,"apenas dos semanas después de que el almirante teodoro lópez calderón abandonase la jefatura de la armada para ocupar el cargo de jefe de estado mayor de la defensa (jemad), su antiguo puesto ya ha sido ocupado por el almirante antonio martorell lacave, quien desde hoy será el nuevo jefe de estado mayor de la armada (ajema). el jueves, jurará su cargo en el cuartel general de la armada.españa.el nuevo jemad muestra su ""respeto"" al general villarroya por dimitir tras ""una desafortunada circunstancia""españa.robles subleva al ejército del aire con el nuevo jemadespaña.el almirante teodoro lópez calderón, nuevo jemadasí lo ha decidido hoy el consejo de ministros, a propuesta de la ministra de defensa, margarita robles, quien el pasado 23 de enero aceptó la dimisión del general del aire miguel ángel villarroya como jemad tras la polémica por su vacunación. robles eligió entonces como sustituto al frente de la estructura operativa de las fuerzas armadas al entonces ajema, lo que ha obligado elegir a un sustituto.el nuevo jefe de la armada era desde mayo del pasado 2020 el almirante de la flota (alflot), esto es, el responsable del poder naval de la armada, el núcleo básico de la fuerza naval para realizar operaciones militares. hasta ahora, su cometido era asegurar el alistamiento y la certificación de las unidades para llevar a cabo las actividades previstas y cubrir las necesidades operativas establecidas por el jemad.nacido en bilbao en 1960, ingresó en la escuela naval militar de marín en 1979, recibiendo su despacho en 1984. es diplomado de estado mayor, especialista en armas submarinas y ha realizado numerosos cursos nacionales e internacionales. a lo largo de su carrera ha estado al mando de fragatas, corbetas, dragaminas y cazaminas y cuenta con experiencia internacional, tanto en operaciones conjuntas como en puestos de mando aliados.entre sus destinos en tierra, ha sido profesor en la escuela superior de las fuerzas armadas, jefe del taller de torpedos del arsenal de cartagena, jefe del área unión europea de la dirección general de política de defensa y jefe de la sección de ejercicios en el cuartel general conjunto de la otan en nápoles. de marzo a octubre de 2019 fue comandante de la ""operación atalanta"" de la ue contra la piratería en el índico y ese mismo año fue nombrado comandante del cuartel general marítimo de alta disponibilidad.en principio, tal y como confirmó esta misma semana robles, éste sería el último cambio en la cúpula militar que tiene previsto, a pesar de que ésta llegó en abril de 2017 de la mano de la popular maría dolores de cospedal. la ministra quiso dejar claro el otro día que el mandato de los jefes de estado mayor no tiene que durar cuatro años obligatoriamente.","el almirante antonio martorell, nuevo jefe de la armada"
