indi,news,titular
0,"dos semanas después de su puesta de largo y presentación en sociedad, el primer submarino s-80 para la armada, el s-81 ""isaac peral"", ha entrado hoy en el agua tras una delicada y larga maniobra que se ha retrasado varios días por las condiciones meteorológicas. de esta forma, tras completar su construcción 17 años después de que arrancara el programa, navantia ha cumplido otro importante hito.españa.submarino s-80 tras 17 años y 3.900 millones, el ""isaac peral"" ya está aquíespaña.el comandante del s-81 isaac peral» va a ser un revulsivo para la armada»desde que el pasado día 22 la princesa leonor amadrinara el que es considerado uno de los submarinos (no nucleares) más avanzados del mundo, en el astillero de navantia de cartagena (murcia) comenzaron las tareas que llevarían al s-80 al agua. un lento y delicado trabajo que comenzó con su colocación sobre un dique flotante. tras esto, se ha hecho flotar el dique y se ha trasladado hasta la fosa, el lugar de la dársena que cuenta con el calado necesario. una vez allí se ha iniciado la inundación de sus lastres y ha comenzado a sumergirse, comenzando el submarino a recibir agua y, poco a poco, a flotar por sí mismo.se trata de una difícil tarea en la que a cada paso se van realizando una serie de comprobaciones ""vitales"" para la seguridad del submarino. tras esto, los remolcadores y las empujadoras lo han trasladado hasta el muelle de armamento, donde quedará atracado.a partir de ahora comienza la etapa de pruebas, que arrancan en puerto, con el submarino amarrado, y que está previsto que se prolonguen durante unos nueve meses, tras lo que saldrá a mar abierto. tal y como explican desde navantia, las pruebas de puerto y de mar suponen probar todos los sistemas, e incluyen varios hitos de seguridad, como cargar las baterías, las pruebas de propulsión sobre amarras y, por último, la navegación en superficie, la inmersión y el descenso a cota máxima.esta última etapa tendrá lugar en la bahía de cartagena y según la compañía la primera navegación del ""isaac peral"" tendrá lugar a principios del próximo año 2022, convirtiéndose, ya sí, en el hito más importante de todo el programa. las previsiones apuntan a que a finales de 2022 o principios de 2023 será entregado a la armada.así ha sido la puesta a flote del submarino #isaacperal.con el nuevo submarino la @armada_esp, @defensagob, @navantiaoficial y la industria colaboradora damos un salto cualitativo en capacidades estratégicas y proyección en el mercado internacional. #somoslaarmada ⚓️ 🇪🇸 pic.twitter.com 5qlxtd4m4fel #submarino #s81 #isaacperal finaliza su maniobra de puesta a flote en el astillero #navantia #cartagena. bz!@armada_esp pic.twitter.com h7s6wtlej3esta tarea de puesta a flote del submarino la ha seguido en directo la secretaria de estado de defensa, esperanza casteleiro, quien ha visitado el arsenal de cartagena. de ahí se ha trasladado a las instalaciones navantia, donde ha presenciado la maniobra.al mando de este hito de la industria naval española está el capitán de corbeta manuel corral iranzo, quien desde el pasado 1 de marzo es el comandante del s-81 isaac peral». se trata de un marino experto -fue el único que superó el exigente curso de comandante de submarinos de la marina de noruega- que, en una entrevista a la razón, aseguraba que este sumergible va a suponer un revulsivo para la armada». lo dijo días antes de su presentación, apuntando que ""para todos los submarinistas va a suponer un gran impulso motivacional verlo en el agua"". hoy es ese día.",el submarino s-80 ya flota
1,"este viernes, el presidente del gobierno, pedro sánchez, y las cuatro vicepresidentas, carmen calvo, nadia calviño, yolanda díaz y teresa ribera, se han reunido con el rey, felipe vi, para presentarles el plan de recuperación, transformación y resiliencia previsto por el ejecutivo, el paquete de reformas e inversiones que pretende impulsar españa para canalizar los 140.000 millones de fondos europeos de reconstrucción que recibirá hasta 2026.según ha informado casa real, el encuentro tuvo lugar para dar los detalles del contenido del plan al monarca, en una reunión que no estaba incluida en la agenda del rey ni del jefe del ejecutivo. en dicho encuentro, las cámaras captaron una conversación entre las vicepresidentas y el rey en las que alababan que el teatro real de madrid haya estado abierto durante la pandemia.en el vídeo publicado por casa real, se puede escuchar dicha conversación entre las vicepresidentas y el monarca, que sucede en tono distendido, al parecer antes de comenzar la reunión, y se intuye que están hablando sobre la situación que vive el sector de la cultura dada la pandemia del covid-19.primero, es la vicepresidenta segunda, nadia calviño, quien afirma que españa ""es un oasis para todo el mundo de la lírica"". ""es que el teatro real es el único gran teatro lírico que se ha mantenido abierto"", añade carmen calvo.tras esto, felipe vi menciona el liceo y la vicepresidenta primera dice que ""ha ido ahí, ahí..."" ""madrid ha sido..."", dice sin terminar la frase, ya que justo en ese instante cambia el plano y pasa a enfocar al rey. en ese momento, felipe vi dice una frase que no termina de entenderse con exactitud y, de la cual, podrían entenderse dos frases diferentes ""madrid ha sido una liberación"" o ""ahí ha sido una liberación"".esta conversación ha circulado con velocidad por las redes sociales y muchos han señalado que se trataba de un halago a la gestión que ha hecho madrid de la pandemia. toni cantó se ha hecho del suceso y ha afirmado en twitter ""felipe vi a pedro sánchez y sus cuatro vicepresidentas, hablando del impacto de la pandemia del coronavirus en los espectáculos culturales. ‘madrid ha sido una liberación’"".",calviño y calvo alaban (sin darse cuenta) la gestión de ayuso en madrid con el rey ante un sánchez atónito
2,"el ministro del interior, fernando grande-marlaska, y el alcalde de guadalajara, alberto rojo blas, han suscrito un convenio de colaboración que permitirá construir en una parcela municipal un nuevo cuartel, más moderno y con mejores equipamientos, como sede del grupo especial de operaciones (geo) de la policía nacional, unidad que tiene su sede en esta ciudad desde su nacimiento en 1978. al acto celebrado hoy en el ayuntamiento de guadalajara han asistido el presidente de castilla-la mancha, emiliano garcia-page el director general de la policía, francisco pardo piqueras, y el comisario jefe del geo, javier daniel nogueroles.en su intervención, el ministro ha agradecido el gesto de la corporación municipal porque ""la cesión de un espacio de casi 56.000 metros cuadrados, en una situación estratégica a dos pasos de madrid y del sistema radial de comunicaciones con todo el país, que proporciona una gran reserva a la actuación policial y altísimos niveles de seguridad, colma todas nuestras aspiraciones"". grande-marlaska ha destacado que el espacio permitirá que el geo ""siga respondiendo a cualquier amenaza a nuestra seguridad con la misma eficacia y profesionalidad que hasta ahora, pero con un potencial táctico aumentado"". ""y va a seguir haciéndolo desde guadalajara"", ha concluido el ministro.por su parte, el alcalde de guadalajara, alberto rojo blas, ha dado las gracias tanto al ministerio del interior como al conjunto del gobierno de españa por un acuerdo que permite ""mantener el importante vínculo de la ciudad con el geo y al mismo tiempo, que el cuerpo cuente con unas nuevas y modernas instalaciones, llamadas a ser toda una referencia en el mundo"".desde 1978, el grupo especial de operaciones tiene su sede en guadalajara, en unas instalaciones que por el paso del tiempo han quedado obsoletas y no pueden atender las nuevas y exigentes necesidades de entrenamiento y formación de la unidad. en enero de 2019, a propuesta de grande-marlaska, el consejo de ministros aprobó el plan de infraestructuras para la seguridad del estado 2019-2025, con una inversión global de 600 millones de euros. una de las actuaciones de mejora de este plan es la construcción de la nueva sede del geo, con una inversión de 3,5 millones de euros. la dirección general de la policía y el ayuntamiento de guadalajara han consensuado el espacio más idóneo para la construcción de estas nuevas instalaciones más adecuadas a las necesidades de entrenamiento y rápido despliegue del geo. el futuro cuartel contará, entre otros equipamientos, con una vivienda de entrenamiento, helipuerto, nave para embarcaciones y buceo, galerías de tiro, residencia y sala cecor, un centro de mando equipado con sistemas de información y redes para poder coordinar y dirigir a los efectivos en las zonas donde sean destacados.",el geo de la policía tendrá una nueva sede en guadalajara
3,"son días muy duros para la familia de olivia y anna gimeno zimmerman cuando se cumplen diez días desde que tomás, el padre de las menores, se las llevara tras advertir a la madre que no volvería a verlas más. beatriz, que sigue con esperanza la investigación que está desarrollando la guardia civil, y ha querido agradecer en una carta pública el apoyo que siente estos días. ""quiero agradecer al mundo entero la increíble colaboración de búsqueda en la que están colaborando para encontrar a las niñitas"". ""sobran palabras en explicar qué puede sentir una madre cuando se llevan sus dos razones de ser"". beatriz asegura que gracias al ""apoyo policial, difusión de redes sociales y noticias a nivel mundial"" tiene esperanza de encontrarlas y ""puedan volver a mis brazos"".deportes.el tenerife y el almería apoyarán la búsqueda de las dos niñas desaparecidas ""que el padre, por favor, desista"" para ella, la repercusión que ha tenido la noticia demuestra ""la fuerza del amor"". la madre de olivia y anna también se ha dirigido a tomás y ha dicho ""que el padre por favor desista y no les haga sufrir porque ellas no tienen culpa de nada y están queriendo verme desesperadamente como cualquier niño a su madre"". ""esto es una carrera de fondo y tengo que estar fuerte por ellas. mi fortaleza se la debo a ustedes, siento que están remando conmigo"". beatriz da gracias ""al mundo"" por ayudarle a levantarse cada día ""esperanzada de que hoy vienen de vuelta"". ""gracias de corazón"".","la madre de las niñas ""sobran las palabras para explicar qué puede sentir una madre cuando se llevan sus dos razones de ser"""
4,"sólo quedan 10 presos de eta por recibir los beneficios de los traslados al país vasco o a cárceles próximas, según denuncia la asociación de víctimas del terrorismo. ""la derogación de la política penitenciaria sigue su curso, y la ""agenda carcelaria"" del ministerio del interior mantiene el ritmo de los traslados semanales"". ""sin ninguna duda, el señor sánchez va a pasar a la historia como el presidente del gobierno que acercó a todos los presos de eta al país vasco y navarra (…) además, cada vez es mayor el porcentaje que se trasladan cada viernes a cárceles propias de la comunidad autónoma vasca"". los presos reclusos beneficiados esta semana son josé carlos apeztegia jaka. de pamplona a san sebastián. fue condenado en 2019 a la pena de cuatro años de prisión por un delito de integración en organización terrorista en relación a las actividades que estuvo haciendo para eta mientras estaba cumpliendo condena. la primera vez que apeztegia fue detenido, a principios de los noventa, también fue juzgado por un delito de pertenencia a eta debido a su implicación en la red de extorsión y el cobro del llamado ""impuesto revolucionario"".lexuri gallastegi sodupe. de almería a zuera, en zaragoza. en 2008 fue condenada a 1.476 años de prisión por el atentado en 2001 contra el subsecretario general de policía científica, juan junquera, en el que éste y otras 96 personas resultaron lesionadas.por otra parte, la secretaría general de instituciones penitenciarias ha dispuesto aplicar el artículo 100.2 del reglamento penitenciario, para flexibilizar su clasificación en segundo grado, a los internos joseba segurola beobide. está en el centro penitenciario de burgos. ingresó en prisión el 19 de julio de 2003 y cumple una condena de 20 años por los delitos de colaboración con banda armada, falsificación y depósito de armas y explosivos.javier pérez aldunate. cumple condena en el centro penitenciario de pamplona. la sección cuarta de lo penal de la audiencia nacional le condenó a 35 años de prisión por varios delitos, entre ellos, recabar información para matar al rey juan carlos en la semana santa de 2004, contra quien finalmente no pudo atentar porque supuestamente no recibió a tiempo el rifle con el que planeaba dispararle.",sólo quedan 10 presos de eta por recibir el beneficio del traslado
5,"todo está en funcionamiento. tras la dimisión de pablo iglesias de todos sus cargos de responsabilidad en podemos, el partido quiere iniciar el procedimiento de reconstrucción de su proyecto cuanto antes. será el próximo 13 de junio cuando tras la convocatoria de vistalegre iv -su asamblea ciudadana- el partido elija al nuevo sucesor, que en esta ocasión tendrá por vez primera nombre de mujer.será la ministra ione belarra la que se pondrá al frente del partido, una candidatura apoyada por toda la dirección nacional del partido, aunque en breve abrirán el proceso de convocatoria en el que podrán presentarse otras alternativas. sin embargo, debido a la inmediatez de los plazos, la posibilidad de que se presenten más candidaturas se reduce al completo, además, belarra será la única candidata que cuente con el aval completo del partido, como ya informó este diario en su edición de ayer.un elemento que no ha pasado desapercibido dentro y fuera de la formación. de hecho, la diputada de podemos y vicepresidenta tercera del congreso, gloria elizo, ha reaccionado rápidamente a la decisión del partido de convocar su proceso de refundación. a su juicio el partido se ha dado ""prisa"" en poner en marcha la maquinaria. lamenta la diputada que se ""cierre"" la oportunidad de un proceso de renovación ""como el que debe ser la iv asamblea de podemos. ""volvemos a los mismos errores. las personas por encima del análisis"", ha lamentado en twitter.qué prisas!! cuanto más crucial es la reflexión y el debate, más rápido se cierran las oportunidades de un proceso renovación de podemos como el que debe ser la iv asamblea de podemos. volvemos a los mismos errores. las personas por encima del análisis.",podemos reemplazará a iglesias en vistalegre iv el próximo 13 de junio
6,"el juez de la audiencia nacional santiago pedraz ha acordado el archivo de las actuaciones, por motivos de salud, respecto de marta ferrusola en la causa en la que van a ser juzgados su marido, el ex presidente de la generalitat jordi pujol, y sus siete hijos por delitos de organización criminal o asociación ilícita, blanqueo de capitales, fraude tributario y falsedad documental.españa.una forense evaluará la demencia de ferrusola en su domicilio el 1 de marzoespaña.el caso pujol», de la a a la z en un auto, el titular del juzgado central de instrucción número 5 accede así la petición de la defensa de la matriarca del clan pujol, en la que pedía el archivo de la causa y adjuntaba documentación médica que acreditaba su estado de salud.la fiscalía solicitó la realización de un examen médico forense y, una vez practicado, informó de que no se oponía al archivo sin perjuicio de que se diera traslado al ministerio público de los informes incorporados al procedimiento con objeto de instar ante la jurisdicción civil su incapacitación.la decisión se produce después de que una forense examinase el estado de salud de marta ferrusola por orden de la audiencia nacional, acreditando que la esposa del ex presidente de la generalitat padece un ""deterioro cognitivo tipo alzheimer moderadamente grave de cinco años de evolución"". la defensa de ferrusola, de 85 años, aportó a pedraz tres informes médicos que acreditan esa ""demencia sobrevenida"" por la que sus abogados consideraban que no se encuentra ""en condiciones de poder prestar declaración ante un tribunal"".el informe forense concluye que además de limitaciones físicas que se traducen en una ""dificultad psicomotriz"", ferrusola presenta una ""escasa capacidad para analizar, evaluar, comprender y actuar de forma adecuada a las circunstancias que le rodean"". la defensa de la esposa del ex president puso a disposición de la audiencia en un primer momento dos informes médicos. en el primero, de 27 de noviembre del pasado año, la unidad de memoria del servicio de neurología del hospital sant pau de barcelona acreditó que ferrusola carecía de la capacidad de juicio suficiente a consecuencia de la enfermedad de alzheimer y a las lesiones cerebrales causadas por la caída sufrida en agosto del pasado año.en un segundo dictamen médico, el doctor jaume padrós certificó en enero que la matriarca del clan pujol sufre un ""trastorno cognitivo grave multifactorial"" que acarrea que ""la memoria a corto y largo plazo se encuentren muy afectadas"", por lo que ""no es capaz de realizar análisis complejos ni interpretar la situación presente ni las limitaciones funcionales y cognitivas que presenta"". su defensa argumentó que en esas condiciones ""no se encuentra en condiciones de poder prestar declaración ante un tribunal por incapacidad de comprensión"", por lo que debería archivarse la causa contra ella.por último, el pasado 9 de marzo los abogados de ferrusola hicieron llegar al instructor un tercer informe actualizado, realizado por el servicio de neurología del hospital de sant pau de barcelona, que evalúa la evolución de la enfermedad desde agosto de 2018, cuando comenzaron sus problemas cognitivos. ese dictamen reitera que a consecuencia del deterioro ""lentamente progresivo"" en la actualidad ""debido a su demencia de base y a las lesiones cerebrales causadas por el politraumatismo, la paciente no tiene la capacidad de juicio ni la toma de decisiones conservadas"".en su auto de procesamiento, el juez josé de la mata afirma que la familia pujol ferrusola aprovechó ""su posición privilegiada de ascendencia en la vida política social económica catalana durante decenios"", entre 1992 y 2014, ""para acumular un patrimonio desmedido, directamente relacionado con percepciones económicas derivadas de actividades corruptas"".",el juez archiva la investigación contra marta ferrusola por su demencia
7,"hacía días que habían echado en falta a ""quiquín"", de 64 años, y antonio, de 68, dos hermanos de santos de maimona, en badajoz. pero ahora la guardia civil ha detenido rafael, de 61 años y hermano menor de los desaparecidos, tras encontrar sus cuerpos con ""evidentes síntomas de violencia"" en el interior del inmueble en el que convivían.la detención se produjo después de que la directora del centro de día comunicara que los dos hermanos no acudían desde este pasado lunes como habitualmente hacían. fue la policía local del municipio la que trasladó la desaparición de ambos hermanos a la guardia civil, según europa press. al parecer se trata de una familia muy humilde y acudían a solicitar comida.tras activar el protocolo para la localización de estas personas, los agentes se personaron en el domicilio, sito en la calle san cristóbal nº 48, donde fueron recibidos por otro hermano que convivía con ellos, con una actitud ""agresiva, violenta y amenazante"", quien además no permitió el acceso a la vivienda. ""tengo una escopeta dentro y os voy a matar a todos"", dijo a los agentes.ante estos hechos, fue detenido y trasladado a dependencias oficiales de la guardia civil. una vez autorizado el mandamiento judicial por el juzgado de instrucción número 2 de zafra, se llevó a cabo la entrada e inspección del inmueble, que se ha prolongado durante toda la noche, donde se hallaron los cuerpos sin vida de sus dos hermanos con ""evidentes síntomas de violencia"", señala la guardia civil en nota de prensa. la investigación continúa, pendiente de la autopsia y prácticas de diligencias para el total esclarecimiento del suceso. el detenido, presunto autor del doble fratricidio, se encuentra en dependencias policiales de zafra, en espera de su puesta a disposición judicial.","un hombre mata a sus hermanos en badajoz y amenaza a la guardia civil ""tengo una escopeta y os voy a matar a todos"""
8,"antes de la debacle de la formación naranja en las elecciones autonómicas de madrid, en medio de la crisis del partido tras la moción de censura fallida de murcia, internamente ya se barruntaba que la ola de bajas naranjas volvería tras el 4-m.comunidad valenciana.cuatro diputados de cs de les corts valencianes dejan el partido ""no seremos la muleta del ‘sanchismo’""en esta ocasión ha sido la que fuera consejera de cultura de la comunidad de madrid, marta rivera, la que ha pedido su baja como afiliada de la formación naranja, según han trasladado a ep fuentes del partido.este gesto llega justo antes de que la presidenta regional en funciones, isabel díaz ayuso conforme su gobierno regional para el que ya había anticipado que no descartaba incluir en él a miembros de ciudadanos. de hecho, ayuso siempre ha destacado de rivera que ""fue colaboradora con el resto del gobierno, independientemente de las siglas, ayudando de manera destacada a la cultura en madrid en los momentos más duros de la pandemia"". ""para mí es una persona a tener cerca y me gustaría"", admitió, al tiempo que añadió que ella no busca ""adhesiones inquebrantables"" ni quiere cargos ""todos cortados por el mismo patrón"".tras el anuncio de adelanto electoral anunciado por díaz ayuso y después de fulminar a todos los consejeros de cs de su gobierno, continuó con su buena relación con marta rivera quien volvió el pasado mes de abril a la casa de correos en abril para presentar una muestra sobre antonio lópez que ella, cuando era consejera de cultura había impulsado.ya en diciembre se habló de la buena sintonía que había entre rivera y díaz ayuso después de que trascendiera un almuerzo entre ambas al que también acudió toni cantó antes de que el que fuera coordinador de los naranjas en valencia dejara sus cargos en el partido. además, la jefa de gabinete de la exconsejera de cultura, sandra fernández, en febrero pasó a trabajar como dircom del gobierno de ayuso, otro punto de unión entre la presidenta y la consejera naranja.por su parte, la vicealcaldesa de madrid, begoña villacís, ha negado que la baja de la exconsejera naranja de cultura y turismo, sea una ""fuga"" y no cree que finalmente se afilie al pp. ""no es una fuga. ahora mismo no está trabajando en cs en la asamblea de madrid. ha sido una grandísima consejera de cultura que ha conseguido mantener los teatros abiertos y la cultura segura"", ha defendido ante los periodistas tras el acto de presentación del madrid platform. villacís indicó que rivera de la cruz, una de sus ""mejores amigas"", ha ""gobernado y lo ha hecho bien"". ""ella es de centro, moderada, liberal y moderna, como siempre ha sido"", ha añadido.sobre la baja del partido, ha insistido en que es una cuestión ""personal"" la decisión de estar ""de alta o de baja"" pero no cree que acabe militando en el pp.hoy mismo también se ha conocido que cuatro diputados de ciudadanos en valencia, cristina gabarda, jesús salmerón, josé antonio martínez y sunsi sanchís han firmado un escrito en el que anunciaban que dejan el grupo parlamentario naranja para pasarse al mixto.",marta rivera se da de baja de cs antes de que ayuso nombre a su nuevo gobierno
9,"el ministerio español de ciencia e innovación tiene registrados diez proyectos de investigación de vacunas frente al coronavirus en todo el territorio nacional. si bien existen propuestas en otros países del mundo en esta línea, según la asociación española de vacunología (aev), la mayoría se encuentra en estadios muy incipientes. de las diez que se están investigando en españa encabezan la lista las tres del consejo superior de investigaciones científicas (csic), en concreto dos que se desarrollan en el centro nacional de biotecnología (cnb) el proyecto liderado por los científicos luis enjuanes e isabel sola, y el de juan garcía arriaza y el tercero, en el centro de investigaciones biológicas (cib), apellidado recientemente margarita salas en honor a esta insigne investigadora de proyección internacional, y capitaneado por los profesores vicente larraga y mariano esteban. el virólogo enjuanes prevé que su vacuna estará lista a principios del año que viene empleamos dos métodos de administración, el intranasal y el intramuscular, y veremos cuál accede antes al mercado, según las agencias reguladoras de administración de medicamentos. nuestra idea es que cada año habrá que actualizar la vacunación, como sucede con la de la gripe. sabemos que este virus es de genoma arn, lo que significa que muta rápidamente. la nuestra la hemos actualizado ya, antes de producirla, si tenemos en cuenta las variantes de reino unido o sudáfrica, por ejemplo». como advierte este experto, los virus respiratorios entran preferentemente por las vías respiratorias e, idealmente, la inmunidad se debe inducir por vía local, pero requiere muchos más controles para evitar los efectos secundarios y los sistemas de producción son sumamente mucho más complejos. el riesgo –explica– es que puede atravesar la barrera hematoencefálica, lo que supone pasar al torrente circulatorio y llegar al cerebro con graves efectos secundarios, si los indujera. aunque se sabe que el método intramuscular no es tan eficiente, las compañías han apostado por él por su mayor seguridad». un camino rápido en lo que concierne a cuándo saldrá al mercado su vacuna, se muestra muy cauteloso creíamos que el camino iba a ser mucho más rápido, pero ni siquiera hemos comenzado los ensayos clínicos en humanos, de modo que, siendo muy optimistas, hasta primeros de 2022 pensamos que no dispondremos de ella». para la científica isabel sola, codirectora del proyecto de enjuanes, esta iniciativa se basa en el desarrollo de una modalidad de vacuna del virus completo y parte de eliminar del genoma del virus todos los genes responsables de provocar la enfermedad y la virulencia, y conservar todos aquellos genes que son susceptibles de originar una respuesta inmune para la protección frente a la infección. a diferencia de otros modelos de vacunas –explica–, que pueden ser más sencillos y rápidos, el nuestro no incluye un solo componente del virus, que es lo que recogen la mayoría de las vacunas que se están desarrollando, sino que aporta distintos componentes, a fin de que confiera una protección inmune más completa y equilibrada y que esto asegure que nuestra vacuna sea más eficaz y segura». el segundo proyecto del cnb, del csic, liderado por los profesores juan garcía arriaza y mariano esteban, parte de investigaciones y tratamiento empleados en la erradicación de la viruela utilizamos un virus de la viruela, el virus vaccinia, como vector o vehículo para insertarle genes, en este caso del coronavirus, que puedan inducir una buena respuesta frente a las proteínas del coronavirus. en el aspecto de seguridad, nuestra vacuna ofrece todas las garantías y además es capaz de activar de modo muy potente los dos brazos, diríamos, del sistema inmune, es decir, tanto la inducción de anticuerpos como la activación de células t, que son las encargadas de eliminar aquellas células infectadas», según apunta. con respecto al tercer proyecto del csic, en el centro de investigaciones biológicas (cib) margarita salas, capitaneado por el profesor vicente larraga, este confía, al igual que sus colegas del csic, en que su vacuna esté disponible a finales de año o principios del próximo, pero, como todo científico, se muestra muy cauto como las primeras vacunas han llegado ya al mercado, debemos aportar algo nuevo a alguna multinacional farmacéutica para que se interese por ellas. entre las ventajas de la nuestra es su termoestabilidad, esto es, que se conserva a temperatura ambiente, aspecto del que al menos de momento no goza ninguna de las vacunas existentes, y que, al ser una vacuna de adn sintética, es posible rehacerla rápidamente para adaptarla a las variantes del virus más resistentes», explica. este parasitólogo advierte de que en el verano recuperaremos la normalidad», pero añade que la enfermedad durará dos o tres años más, de ahí que sea trascendental seguir fabricando vacunas y que tengamos nuestra propia capacidad para fabricarlas». el virólogo víctor cid, catedrático de la universidad complutense de madrid, y gran conocedor del comportamiento del coronavirus y sus mutaciones, está muy al tanto de todo lo que se está trabajando en inmunización en este campo en españa y aplaude el ingente esfuerzo investigador y el potencial humano de la más elevada categoría científica del país. la administración central –matiza– debería adquirir de una vez por todas más sensibilidad acerca de este importante asunto y aunar acuerdos con el sector privado. es uno de los principales indicadores de desarrollo de un país. sin embargo, lamentablemente hay capital humano y financiero, pero falta mucha voluntad política y esta es la base para conjugar y ordenar los otros dos pilares, que son fundamentales. y es verdaderamente lamentable, puesto que podríamos ser un país en este ámbito entre los primeros de nuestro entorno». pero, afortunadamente, no toda esta loable investigación está centrada en la capital del reino de españa, sino que otros centros también se encuentran en esta ardua lucha, como es el de la universidad de santiago de compostela (la coruña), que lleva a cabo dos proyectos, dirigidos por el profesor josé manuel martínez costas, que abandonó momentáneamente su trabajo y, sin más burocracias, devuelve con toda educación la llamada de la razón y le dedica el tiempo que haga falta. trabajamos en dos iniciativas –narra ilusionado el profesor josé manuel martínez costas– y en colaboración con el instituto carlos iii, de madrid. nuestras investigaciones se basan en el diseño de células que creen microesferas en las que podamos introducir las proteínas que deseemos. en este caso las cargamos de epítopos de coronavirus, con el objeto de estimular el sistema inmune frente a la covid». en realidad, como agrega el profesor de la universidad de santiago, el sistema dispone de diversas aplicaciones terapéuticas lo habíamos ensayado antes con otras infecciones y la respuesta fue muy satisfactoria, no precisamos adyuvantes y además era barato y rápido de producir, un aspecto muy relevante». si bien los ensayos se encuentran en fase preclínica, cuentan con una ayuda de la european vaccine initiative, de la unión europea, que les apoyaría para emprender estudios clínicos en fase i en humanos. el segundo de estos proyectos de la universidad está capitaneado por el profesor javier montenegro, cuya idea es diseñar una vacuna a semejanza de la moderna, basada en arn mensajero, que codifica las proteínas del coronavirus. para transportar los antígenos no empleamos virus inactivados, como en otras vacunas, sino que recurrimos a una alternativa sintética». con el propósito de unir esfuerzos y conocimientos la universidad de santiago está colaborando con el instituto de investigaciones biomédicas august pi sunyer (idibaps), relacionado con el hospital clínic de barcelona, donde el grupo del profesor felipe garcía contaba con una amplia experiencia en la búsqueda de una vacuna frente al sida. aquí también aporta su experiencia el grupo del instituto de investigación del sida, fundación irsicaixa.",las diez vacunas contra la covid made in spain»
